Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ELP5	1	1	479	0.2%	No
WDR12	1	1	479	0.2%	No
ELP6	1	1	479	0.2%	No
WDR13	1	1	479	0.2%	No
SCAF4	1	1	479	0.2%	No
DHRS4	1	1	479	0.2%	No
HIPK2	2	2	479	0.4%	No
RFLNA	1	1	479	0.2%	No
SLC8A3	1	1	479	0.2%	No
MKLN1	1	1	479	0.2%	No
NFIA	1	1	479	0.2%	No
SMOC1	1	1	479	0.2%	No
TMEM39A	2	2	479	0.4%	No
CEP44	1	1	479	0.2%	No
RAB3B	1	1	479	0.2%	No
ANKRD13C	1	1	479	0.2%	No
VKORC1L1	1	1	479	0.2%	No
TMEM179B	1	1	479	0.2%	No
GTF2B	1	1	479	0.2%	No
PRORP	1	1	479	0.2%	No
SLC8A1	1	1	479	0.2%	No
CDC14A	1	1	479	0.2%	No
SLC8A2	1	1	479	0.2%	No
CDC14B	1	1	479	0.2%	No
IPO9	1	1	479	0.2%	No
LAMP2	1	1	479	0.2%	No
ZNF329	1	1	479	0.2%	No
SLC39A8	1	1	479	0.2%	No
ZNF326	1	1	479	0.2%	No
PLEKHJ1	2	1	479	0.2%	No
MAGI1	1	1	479	0.2%	No
CSGALNACT1	2	2	479	0.4%	No
KCMF1	3	2	479	0.4%	No
TLE3	1	1	479	0.2%	Yes
COL27A1	1	1	479	0.2%	No
USP5	1	1	479	0.2%	No
TMEM178B	1	1	479	0.2%	No
TMEM178A	2	2	479	0.4%	No
RALGAPA1	3	3	479	0.6%	No
RALGAPA2	2	2	479	0.4%	No
DYRK1A	1	1	479	0.2%	No
VASH2	1	1	479	0.2%	No
FRMD4A	4	4	479	0.8%	No
FRMD4B	1	1	479	0.2%	No
LARP4B	1	1	479	0.2%	Yes
NRBP1	1	1	479	0.2%	No
TLE5	1	1	479	0.2%	No
LBHD1	1	1	479	0.2%	No
TOM1L2	1	1	479	0.2%	No
EBNA1BP2	1	1	479	0.2%	No
RAB30	1	1	479	0.2%	No
H4C16	2	2	479	0.4%	No
KAT6B	2	2	479	0.4%	Yes
KAT6A	4	3	479	0.6%	Yes
TSSK6	1	1	479	0.2%	No
SNRPE	1	1	479	0.2%	No
ADNP	1	1	479	0.2%	No
ADTRP	1	1	479	0.2%	No
FKBP5	2	2	479	0.4%	No
CSNK1G1	1	1	479	0.2%	No
IPPK	1	1	479	0.2%	No
DRC7	1	1	479	0.2%	No
RAB5C	1	1	479	0.2%	No
FAM114A1	1	1	479	0.2%	No
SLC38A10	1	1	479	0.2%	No
UBR2	1	1	479	0.2%	No
SLC38A11	1	1	479	0.2%	No
KRBOX4	1	1	479	0.2%	No
ORC5	3	3	479	0.6%	No
FGGY	2	2	479	0.4%	No
TTC21B	3	3	479	0.6%	No
DVL2	1	1	479	0.2%	No
PLXNA1	1	1	479	0.2%	No
ZNF789	1	1	479	0.2%	No
PI3	1	1	479	0.2%	No
SMN1	1	1	479	0.2%	No
TPPP	1	1	479	0.2%	No
SRGAP2	1	1	479	0.2%	No
MAP2K5	1	1	479	0.2%	No
TRAPPC2	1	1	479	0.2%	No
OSBPL9	1	1	479	0.2%	No
TMEM132D	1	1	479	0.2%	No
UVRAG	1	1	479	0.2%	No
SEC16B	1	1	479	0.2%	No
RAB4A	1	1	479	0.2%	No
COA1	2	2	479	0.4%	No
CCDC12	1	1	479	0.2%	No
AMBN	1	1	479	0.2%	No
OSBPL3	1	1	479	0.2%	No
IQCA1L	1	1	479	0.2%	No
FANCC	1	1	479	0.2%	Yes
SYNJ2	1	1	479	0.2%	No
TRAPPC9	2	2	479	0.4%	No
FAM217B	1	1	479	0.2%	No
DAB1	1	1	479	0.2%	No
P4HA1	1	1	479	0.2%	No
CPD	2	2	479	0.4%	No
BCL3	1	1	479	0.2%	Yes
PIR	1	1	479	0.2%	No
PLEKHM1	1	1	479	0.2%	No
CPE	1	1	479	0.2%	No
MAP3K10	1	1	479	0.2%	No
CCDC22	1	1	479	0.2%	No
SLC26A9	1	1	479	0.2%	No
SLC26A4	2	1	479	0.2%	No
CNIH3	1	1	479	0.2%	No
BMPR2	1	1	479	0.2%	No
MCM7	1	1	479	0.2%	No
ADPGK	1	1	479	0.2%	No
AMD1	3	3	479	0.6%	No
TPM3P9	1	1	479	0.2%	No
SYNE3	1	1	479	0.2%	No
ADAMTS4	1	1	479	0.2%	No
RO60	1	1	479	0.2%	No
KBTBD12	1	1	479	0.2%	No
SCRN3	1	1	479	0.2%	No
UBTF	1	1	479	0.2%	No
CEP170	1	1	479	0.2%	No
TNPO1	1	1	479	0.2%	No
ZNF761	2	1	479	0.2%	No
C8ORF89	1	1	479	0.2%	No
CCDC39	1	1	479	0.2%	No
TRPC6	1	1	479	0.2%	No
SGIP1	2	2	479	0.4%	No
HAUS6	1	1	479	0.2%	No
TFDP2	1	1	479	0.2%	No
DNAJC7	1	1	479	0.2%	No
AOPEP	1	1	479	0.2%	No
DAD1	1	1	479	0.2%	No
DNAJC6	1	1	479	0.2%	No
PECAM1	1	1	479	0.2%	No
MTFR1	1	1	479	0.2%	No
NEMP1	1	1	479	0.2%	No
NSRP1	2	1	479	0.2%	No
HDAC5	3	3	479	0.6%	No
LEPROT	2	2	479	0.4%	No
PLEKHH2	1	1	479	0.2%	No
SMPX	1	1	479	0.2%	No
HDAC1	1	1	479	0.2%	Yes
HDAC8	1	1	479	0.2%	No
NSL1	1	1	479	0.2%	No
HDAC7	1	1	479	0.2%	Yes
STOX2	1	1	479	0.2%	No
TTR	1	1	479	0.2%	No
FIP1L1	1	1	479	0.2%	Yes
HAUS8	1	1	479	0.2%	No
HECTD2	1	1	479	0.2%	No
DNAJB4	1	1	479	0.2%	No
VPS53	2	1	479	0.2%	No
HECTD4	1	1	479	0.2%	No
VPS54	1	1	479	0.2%	No
RAB28	1	1	479	0.2%	No
ASCC3	1	1	479	0.2%	No
CCDC77	1	1	479	0.2%	No
POLR2J	1	1	479	0.2%	No
SEC11A	1	1	479	0.2%	No
PLEKHH1	1	1	479	0.2%	No
POLR2L	1	1	479	0.2%	No
UGT1A6	1	1	479	0.2%	No
PPIL1	1	1	479	0.2%	No
SLC35A4	1	1	479	0.2%	No
RNGTT	1	1	479	0.2%	No
SLC35A3	1	1	479	0.2%	No
SMOX	1	1	479	0.2%	No
CCDC57	2	2	479	0.4%	No
RPRD2	1	1	479	0.2%	No
TAFA4	1	1	479	0.2%	No
POLR3A	2	1	479	0.2%	No
MFAP1	1	1	479	0.2%	No
TAFA2	1	1	479	0.2%	No
LEP	1	1	479	0.2%	No
RAB13	1	1	479	0.2%	No
ASXL2	2	2	479	0.4%	Yes
TLL1	1	1	479	0.2%	No
CEBPZ	1	1	479	0.2%	No
UMODL1	1	1	479	0.2%	No
DYNC2I2	1	1	479	0.2%	No
PANK2	1	1	479	0.2%	No
MTRR	2	2	479	0.4%	No
TRAF3IP2	1	1	479	0.2%	No
HDAC10	1	1	479	0.2%	No
ZMYND8	3	2	479	0.4%	No
CBLB	1	1	479	0.2%	Yes
PPP2R2A	2	2	479	0.4%	Yes
IFIT1	1	1	479	0.2%	No
RPS15	1	1	479	0.2%	Yes
TIAL1	1	1	479	0.2%	No
RPS17	1	1	479	0.2%	No
RPS16	1	1	479	0.2%	No
PPP2R1B	1	1	479	0.2%	No
RPS18	1	1	479	0.2%	No
PART1	1	1	479	0.2%	No
DZIP1L	1	1	479	0.2%	No
HMCN2	1	1	479	0.2%	No
PDK3	1	1	479	0.2%	No
ARFIP1	1	1	479	0.2%	No
ZNF841	1	1	479	0.2%	No
SRRM2	1	1	479	0.2%	No
DYNC2H1	1	1	479	0.2%	No
ATP6V0E1	1	1	479	0.2%	No
COG6	1	1	479	0.2%	No
METTL1	1	1	479	0.2%	No
COG5	2	1	479	0.2%	No
COG4	1	1	479	0.2%	No
SLC35C2	1	1	479	0.2%	No
ARRDC3	1	1	479	0.2%	No
AP1B1	1	1	479	0.2%	No
FLT3LG	1	1	479	0.2%	No
AP1AR	1	1	479	0.2%	No
MAPK8IP3	1	1	479	0.2%	No
SRRM1	3	2	479	0.4%	No
POR	1	1	479	0.2%	No
KATNAL2	2	2	479	0.4%	No
SIK3	1	1	479	0.2%	No
GSAP	1	1	479	0.2%	No
SIK2	1	1	479	0.2%	No
CAGE1	1	1	479	0.2%	No
CFTR	1	1	479	0.2%	No
SLC22A4	1	1	479	0.2%	No
SPTBN4	1	1	479	0.2%	No
RTEL1	1	1	479	0.2%	Yes
CASZ1	2	2	479	0.4%	No
FUT10	1	1	479	0.2%	No
MYOSLID	1	1	479	0.2%	No
GSKIP	1	1	479	0.2%	No
RPAP1	1	1	479	0.2%	No
SCFD1	1	1	479	0.2%	No
FXR2	1	1	479	0.2%	No
CHTF8	1	1	479	0.2%	Yes
PDCD11	1	1	479	0.2%	Yes
ZNF827	1	1	479	0.2%	No
PDCD10	1	1	479	0.2%	No
ZNHIT6	1	1	479	0.2%	No
PPY	1	1	479	0.2%	No
ATP6V0A4	1	1	479	0.2%	No
ZNF821	2	2	479	0.4%	No
TRPM8	5	4	479	0.8%	No
TRPM5	1	1	479	0.2%	No
ARGLU1	1	1	479	0.2%	No
SPTBN1	1	1	479	0.2%	No
VASP	1	1	479	0.2%	No
ZRANB3	2	2	479	0.4%	No
PUM1	1	1	479	0.2%	Yes
SNAP91	2	2	479	0.4%	No
PUM2	2	2	479	0.4%	No
ZZZ3	1	1	479	0.2%	No
RAET1G	1	1	479	0.2%	No
FUBP1	1	1	479	0.2%	Yes
CCSER1	2	2	479	0.4%	No
DCP1A	1	1	479	0.2%	No
C2CD6	1	1	479	0.2%	No
C17ORF78	1	1	479	0.2%	No
ORM1	1	1	479	0.2%	No
C2CD3	1	1	479	0.2%	No
CITED2	1	1	479	0.2%	No
CAB39L	2	2	479	0.4%	No
SLC35F5	1	1	479	0.2%	No
SLC35F4	1	1	479	0.2%	No
NKAP	1	1	479	0.2%	No
LIMD1	1	1	479	0.2%	No
SIPA1L2	1	1	479	0.2%	No
MEOX1	1	1	479	0.2%	No
SIPA1L3	1	1	479	0.2%	No
ROBO1	1	1	479	0.2%	Yes
ZCCHC14	1	1	479	0.2%	No
SLC22A15	1	1	479	0.2%	No
CHMP1A	4	4	479	0.8%	No
XPO5	2	2	479	0.4%	No
FEZF1	1	1	479	0.2%	No
UBXN6	1	1	479	0.2%	No
SLC22A10	1	1	479	0.2%	No
RALGPS2	1	1	479	0.2%	No
LRRCC1	1	1	479	0.2%	No
ZCCHC24	1	1	479	0.2%	No
PARP6	1	1	479	0.2%	No
PARP4	1	1	479	0.2%	No
SLC35G6	1	1	479	0.2%	No
TOP3A	1	1	479	0.2%	No
PARP9	1	1	479	0.2%	No
CFAP299	2	2	479	0.4%	No
ITFG1	1	1	479	0.2%	No
VAV2	1	1	479	0.2%	Yes
PARP8	2	2	479	0.4%	No
CLDN11	1	1	479	0.2%	No
VWA8	1	1	479	0.2%	No
SLC22A23	2	2	479	0.4%	No
HNRNPH2	1	1	479	0.2%	No
MPND	1	1	479	0.2%	No
RAB7A	2	2	479	0.4%	No
SDCCAG8	2	2	479	0.4%	No
VGLL3	1	1	479	0.2%	No
FYTTD1	1	1	479	0.2%	No
ICA1L	1	1	479	0.2%	No
EPPIN-WFDC6	1	1	479	0.2%	No
PPP2CB	1	1	479	0.2%	No
LIMA1	1	1	479	0.2%	No
WIF1	1	1	479	0.2%	Yes
EMC1	1	1	479	0.2%	No
SUSD6	1	1	479	0.2%	No
GPBP1L1	1	1	479	0.2%	No
KANSL1L	1	1	479	0.2%	No
SH3BGR	1	1	479	0.2%	No
CBR4	1	1	479	0.2%	No
CBR3	1	1	479	0.2%	No
SVIL	1	1	479	0.2%	No
ATP5PD	1	1	479	0.2%	No
NFYC	2	1	479	0.2%	No
GBF1	1	1	479	0.2%	No
LSAMP	2	2	479	0.4%	No
SORBS2	4	3	479	0.6%	No
LHFPL3	1	1	479	0.2%	No
GRHL2	2	2	479	0.4%	No
KBTBD4	1	1	479	0.2%	Yes
SPCS3	1	1	479	0.2%	No
CT62	1	1	479	0.2%	No
PRKRA	1	1	479	0.2%	No
CAPZA1	1	1	479	0.2%	No
QPCT	1	1	479	0.2%	No
CAPZA2	1	1	479	0.2%	No
LHFPL6	1	1	479	0.2%	No
APBA1	1	1	479	0.2%	No
COPG2	1	1	479	0.2%	No
FRA10AC1	1	1	479	0.2%	No
PCGEM1	1	1	479	0.2%	No
NDUFA13	1	1	479	0.2%	No
RASEF	1	1	479	0.2%	No
EME2	1	1	479	0.2%	No
ARHGDIA	1	1	479	0.2%	No
ARHGDIB	1	1	479	0.2%	No
NARS2	1	1	479	0.2%	No
COTL1	1	1	479	0.2%	No
RALBP1	1	1	479	0.2%	No
MLIP	1	1	479	0.2%	No
HGD	1	1	479	0.2%	No
LIG1	1	1	479	0.2%	No
KDM2B	5	5	479	1.0%	Yes
MIGA1	1	1	479	0.2%	No
RPL7P16	1	1	479	0.2%	No
NOSIP	1	1	479	0.2%	No
ACYP2	1	1	479	0.2%	No
LIG3	1	1	479	0.2%	No
LMO7	1	1	479	0.2%	No
ALG12	1	1	479	0.2%	No
VWDE	1	1	479	0.2%	No
ALG11	1	1	479	0.2%	No
TRPC4AP	1	1	479	0.2%	No
DEXI	1	1	479	0.2%	No
SPECC1L	1	1	479	0.2%	No
AMPH	1	1	479	0.2%	No
DAP3	1	1	479	0.2%	No
ZCCHC8	1	1	479	0.2%	No
COPA	1	1	479	0.2%	No
COPB1	1	1	479	0.2%	No
GSTCD	2	2	479	0.4%	No
CLEC16A	1	1	479	0.2%	No
CABP1	1	1	479	0.2%	No
TRHDE	1	1	479	0.2%	No
SCUBE2	1	1	479	0.2%	No
HRH1	1	1	479	0.2%	No
MYG1	1	1	479	0.2%	No
COP1	1	1	479	0.2%	Yes
ZMAT4	1	1	479	0.2%	No
UBC	1	1	479	0.2%	No
TASOR	2	2	479	0.4%	No
CDH23	1	1	479	0.2%	No
TASP1	1	1	479	0.2%	No
GAS2L1	1	1	479	0.2%	No
CYP2J2	1	1	479	0.2%	No
KLHDC4	1	1	479	0.2%	No
POU2F1	2	2	479	0.4%	No
CBX5	1	1	479	0.2%	No
IDH1	2	2	479	0.4%	Yes
UQCC1	1	1	479	0.2%	No
SREK1IP1	1	1	479	0.2%	No
EIF2S2	2	1	479	0.2%	No
COQ6	1	1	479	0.2%	No
COQ4	1	1	479	0.2%	No
DIAPH1	2	2	479	0.4%	No
PYY	1	1	479	0.2%	No
DIAPH2	1	1	479	0.2%	No
PI4KA	1	1	479	0.2%	No
CHMP2A	1	1	479	0.2%	No
ZSCAN4	1	1	479	0.2%	No
CRYL1	4	4	479	0.8%	No
BLMH	1	1	479	0.2%	No
DYNLRB1	1	1	479	0.2%	No
BMPR1B	1	1	479	0.2%	No
SAE1	1	1	479	0.2%	No
LRP10	1	1	479	0.2%	No
BRWD1	1	1	479	0.2%	No
FGFR3	1	1	479	0.2%	Yes
ZSCAN2	1	1	479	0.2%	No
BMPR1A	2	2	479	0.4%	Yes
C2ORF42	1	1	479	0.2%	No
THRB	1	1	479	0.2%	No
THRA	1	1	479	0.2%	No
MIDEAS	1	1	479	0.2%	Yes
YBX2	1	1	479	0.2%	No
YBX3	4	3	479	0.6%	No
HK1	1	1	479	0.2%	No
CASP7	1	1	479	0.2%	No
CASP8	1	1	479	0.2%	Yes
LRRTM3	1	1	479	0.2%	No
HJV	1	1	479	0.2%	No
RBM5	1	1	479	0.2%	No
KDM6A	2	1	479	0.2%	Yes
TMPRSS11B	1	1	479	0.2%	No
SVOP	1	1	479	0.2%	No
LINC03041	1	1	479	0.2%	No
GLP2R	1	1	479	0.2%	No
SPATS2	1	1	479	0.2%	No
LINC03043	1	1	479	0.2%	No
AXIN1	1	1	479	0.2%	Yes
PPP2R5A	3	3	479	0.6%	No
TMPRSS11F	1	1	479	0.2%	No
DNM1	1	1	479	0.2%	No
C1QTNF9B	1	1	479	0.2%	No
IQCH	1	1	479	0.2%	No
ALDH1A3	1	1	479	0.2%	No
RABEP1	2	2	479	0.4%	Yes
FCHSD2	1	1	479	0.2%	No
IGDCC4	1	1	479	0.2%	No
RABEP2	1	1	479	0.2%	No
THRAP3	1	1	479	0.2%	No
COL6A2	1	1	479	0.2%	No
RASA1	1	1	479	0.2%	Yes
ALDH1A2	1	1	479	0.2%	No
RASA2	1	1	479	0.2%	No
CDH12	1	1	479	0.2%	No
C14ORF39	1	1	479	0.2%	No
AMTN	1	1	479	0.2%	No
COL6A3	1	1	479	0.2%	No
TERF2IP	1	1	479	0.2%	No
KDM7A	2	2	479	0.4%	No
RBMS3	1	1	479	0.2%	No
COLEC12	1	1	479	0.2%	No
KDM3B	1	1	479	0.2%	No
CLEC12A	1	1	479	0.2%	No
ABRAXAS1	1	1	479	0.2%	Yes
NRXN1	1	1	479	0.2%	No
BRAT1	1	1	479	0.2%	No
LEF1	1	1	479	0.2%	Yes
MAPK9	1	1	479	0.2%	No
GNA14	1	1	479	0.2%	No
MAPK8	1	1	479	0.2%	No
FAM168B	1	1	479	0.2%	No
DDT	3	2	479	0.4%	No
RPS6KC1	1	1	479	0.2%	No
GNA11	2	1	479	0.2%	Yes
TYW1	1	1	479	0.2%	No
MAPK1	1	1	479	0.2%	Yes
OPCML	1	1	479	0.2%	No
C2ORF76	1	1	479	0.2%	No
TCF7L2	1	1	479	0.2%	Yes
KDM4A	2	2	479	0.4%	No
KDM4B	2	2	479	0.4%	No
TCF7L1	2	2	479	0.4%	No
KDM4C	2	2	479	0.4%	Yes
CAPN13	1	1	479	0.2%	No
CAPN12	1	1	479	0.2%	No
ALDH16A1	1	1	479	0.2%	No
USP6NL	2	1	479	0.2%	No
PID1	1	1	479	0.2%	No
ZNF292	3	3	479	0.6%	No
NEXMIF	1	1	479	0.2%	No
TMEM97	1	1	479	0.2%	No
RBPJ	3	2	479	0.4%	No
MYLK	2	2	479	0.4%	No
LIPF	1	1	479	0.2%	No
PREX2	2	1	479	0.2%	Yes
PSMD9	1	1	479	0.2%	No
RABGEF1	1	1	479	0.2%	No
AS3MT	1	1	479	0.2%	No
LSM12	1	1	479	0.2%	No
LIPJ	1	1	479	0.2%	No
PGAP6	2	1	479	0.2%	No
LRAT	1	1	479	0.2%	No
UBASH3A	2	2	479	0.4%	No
SAMD13	1	1	479	0.2%	No
MEF2A	1	1	479	0.2%	No
WDHD1	2	2	479	0.4%	No
GABARAPL1	1	1	479	0.2%	No
RBFOX1	1	1	479	0.2%	No
MIRLET7BHG	2	2	479	0.4%	No
RBFOX3	1	1	479	0.2%	No
STARD9	1	1	479	0.2%	No
CFAP91	1	1	479	0.2%	No
SETMAR	1	1	479	0.2%	No
SND1	1	1	479	0.2%	Yes
MYL4	1	1	479	0.2%	No
CLDN6	1	1	479	0.2%	No
EML4	2	2	479	0.4%	Yes
CNBD2	1	1	479	0.2%	No
MYL6	3	2	479	0.4%	No
DDX39B	1	1	479	0.2%	No
RFX7	1	1	479	0.2%	No
PSME3	1	1	479	0.2%	No
IDO2	1	1	479	0.2%	No
HPD	1	1	479	0.2%	No
CFAP97	1	1	479	0.2%	No
MTMR2	1	1	479	0.2%	No
CFAP20DC	1	1	479	0.2%	No
AGAP1	3	3	479	0.6%	No
ABCB8	1	1	479	0.2%	No
COPS7A	1	1	479	0.2%	No
SLCO5A1	1	1	479	0.2%	No
GABARAP	1	1	479	0.2%	No
GIGYF2	1	1	479	0.2%	No
C5	1	1	479	0.2%	No
CYB5R4	1	1	479	0.2%	No
CYB5R3	1	1	479	0.2%	No
PRKAR2B	1	1	479	0.2%	No
MYO6	2	2	479	0.4%	No
VTI1A	2	2	479	0.4%	No
KCNMB4	2	1	479	0.2%	No
RSU1	1	1	479	0.2%	No
PSMF1	1	1	479	0.2%	No
ZBTB7B	2	1	479	0.2%	No
ZNF268	1	1	479	0.2%	No
PPARGC1A	1	1	479	0.2%	No
ABCA1	1	1	479	0.2%	No
EDEM3	1	1	479	0.2%	No
HACE1	1	1	479	0.2%	No
CADM1	1	1	479	0.2%	No
CADM2	3	3	479	0.6%	No
LRBA	3	3	479	0.6%	No
EDEM1	1	1	479	0.2%	No
EXOC6B	1	1	479	0.2%	No
AZU1	1	1	479	0.2%	No
SNF8	1	1	479	0.2%	No
MRPL30	1	1	479	0.2%	No
UCK2	2	2	479	0.4%	No
LYPD6B	1	1	479	0.2%	No
PSMG2	2	1	479	0.2%	No
EZH1	1	1	479	0.2%	Yes
GPR19	2	2	479	0.4%	No
ARF1	1	1	479	0.2%	No
PIGU	3	2	479	0.4%	No
TUT7	1	1	479	0.2%	No
TUT4	2	2	479	0.4%	No
MRPL39	1	1	479	0.2%	No
PIGZ	1	1	479	0.2%	No
TDRP	1	1	479	0.2%	No
MRPL37	1	1	479	0.2%	No
ECSIT	2	2	479	0.4%	Yes
EFCAB7	1	1	479	0.2%	No
PIGW	1	1	479	0.2%	No
JPH1	1	1	479	0.2%	No
EFCAB8	1	1	479	0.2%	No
TRIOBP	1	1	479	0.2%	No
PIGX	1	1	479	0.2%	No
LRRC1	1	1	479	0.2%	No
EEA1	1	1	479	0.2%	No
MRPL42	2	2	479	0.4%	No
LMBR1	1	1	479	0.2%	No
JPH3	1	1	479	0.2%	No
MRPL40	1	1	479	0.2%	No
LINC02911	1	1	479	0.2%	No
FGFBP3	1	1	479	0.2%	No
APPL2	1	1	479	0.2%	No
TMC1	1	1	479	0.2%	No
SS18	1	1	479	0.2%	Yes
ARG2	1	1	479	0.2%	No
CCDC162P	2	2	479	0.4%	No
ELOVL5	1	1	479	0.2%	No
RRAS2	1	1	479	0.2%	Yes
PTH2R	1	1	479	0.2%	No
TMC6	1	1	479	0.2%	No
DYNLL1	1	1	479	0.2%	No
ELAPOR1	1	1	479	0.2%	No
MZT2A	1	1	479	0.2%	No
LRRC7	1	1	479	0.2%	No
RILPL1	1	1	479	0.2%	No
KCNMA1	2	2	479	0.4%	No
VAMP4	1	1	479	0.2%	No
DLD	2	2	479	0.4%	No
PIGH	1	1	479	0.2%	No
STAU1	1	1	479	0.2%	No
STAU2	1	1	479	0.2%	No
ARL14EPL	1	1	479	0.2%	No
MIR29B2CHG	3	3	479	0.6%	No
COL11A1	1	1	479	0.2%	No
HTT	1	1	479	0.2%	No
FSTL1	1	1	479	0.2%	Yes
PSMA8	1	1	479	0.2%	No
NKILA	1	1	479	0.2%	No
PSMB7	1	1	479	0.2%	No
BTAF1	1	1	479	0.2%	No
TMEM67	1	1	479	0.2%	No
PSMB1	1	1	479	0.2%	No
MICALL1	1	1	479	0.2%	No
TMEM68	1	1	479	0.2%	No
LEO1	2	1	479	0.2%	No
FLNA	1	1	479	0.2%	No
MEF2D	1	1	479	0.2%	Yes
CSMD1	1	1	479	0.2%	No
ANKIB1	1	1	479	0.2%	No
AADAT	1	1	479	0.2%	No
USP9Y	1	1	479	0.2%	No
LRRC27	1	1	479	0.2%	No
STAT3	2	2	479	0.4%	Yes
TMCO4	1	1	479	0.2%	No
GATAD2B	4	4	479	0.8%	No
LETM1	1	1	479	0.2%	No
TTLL7	1	1	479	0.2%	No
PSMC3	1	1	479	0.2%	No
TTLL1	1	1	479	0.2%	No
ERO1B	1	1	479	0.2%	No
NRROS	1	1	479	0.2%	No
ZBTB25	1	1	479	0.2%	No
FAM13B	1	1	479	0.2%	No
FAM13C	1	1	479	0.2%	No
CSE1L	1	1	479	0.2%	No
UBE2D3	2	2	479	0.4%	No
ZBTB20	1	1	479	0.2%	Yes
RORA	1	1	479	0.2%	No
ATP8B5P	2	1	479	0.2%	No
EIF4ENIF1	1	1	479	0.2%	No
SMCHD1	1	1	479	0.2%	No
TPRG1-AS2	1	1	479	0.2%	No
ATCAY	1	1	479	0.2%	No
SCMH1	2	1	479	0.2%	No
LEPR	1	1	479	0.2%	No
ZNF207	1	1	479	0.2%	No
PMPCB	1	1	479	0.2%	No
SLC25A40	1	1	479	0.2%	No
FBRSL1	1	1	479	0.2%	No
MTREX	2	2	479	0.4%	No
SLC25A44	1	1	479	0.2%	No
CCDC144BP	1	1	479	0.2%	No
SH3GLB2	1	1	479	0.2%	No
AGTPBP1	1	1	479	0.2%	No
ANAPC7	2	2	479	0.4%	No
UBE2E3	1	1	479	0.2%	No
AKR1E2	1	1	479	0.2%	No
UBE2E2	2	2	479	0.4%	No
FOXP4	1	1	479	0.2%	No
EMSY	1	1	479	0.2%	Yes
FOXP2	2	2	479	0.4%	No
FOXP1	5	5	479	1.0%	Yes
MAF	1	1	479	0.2%	Yes
SLC9A5	2	2	479	0.4%	No
FRMD8	1	1	479	0.2%	No
LIX1	1	1	479	0.2%	No
MAK	2	1	479	0.2%	No
SLC9A9	1	1	479	0.2%	No
ANAPC4	1	1	479	0.2%	No
ANAPC5	1	1	479	0.2%	No
ROR2	1	1	479	0.2%	No
UTRN	4	4	479	0.8%	No
SNRNP200	1	1	479	0.2%	No
NPTXR	1	1	479	0.2%	No
NSMAF	2	2	479	0.4%	No
LRRC58	2	2	479	0.4%	No
ARL9	1	1	479	0.2%	No
TUBGCP2	1	1	479	0.2%	No
STK39	1	1	479	0.2%	No
NTPCR	1	1	479	0.2%	No
FHIT	2	2	479	0.4%	Yes
RAP1GAP	1	1	479	0.2%	No
SOCS2	1	1	479	0.2%	Yes
BCL2L12	1	1	479	0.2%	No
NPAT	1	1	479	0.2%	No
BCL2L13	1	1	479	0.2%	No
ATXN2	1	1	479	0.2%	Yes
ATXN1	1	1	479	0.2%	No
CLTCL1	1	1	479	0.2%	Yes
STK38	1	1	479	0.2%	No
CPAMD8	1	1	479	0.2%	No
ZBBX	1	1	479	0.2%	No
SLC38A8	1	1	479	0.2%	No
EVI5	1	1	479	0.2%	No
CPA6	1	1	479	0.2%	No
ZNF664	1	1	479	0.2%	No
BCL2L14	1	1	479	0.2%	No
ZBTB18	1	1	479	0.2%	No
TIA1	1	1	479	0.2%	No
RBPMS	1	1	479	0.2%	No
TNFRSF10C	1	1	479	0.2%	No
LRRC61	1	1	479	0.2%	No
FOXN3	1	1	479	0.2%	No
EEF2	3	3	479	0.6%	No
MCC	1	1	479	0.2%	No
NFKB1	1	1	479	0.2%	No
PTPRD	2	2	479	0.4%	Yes
MLXIPL	1	1	479	0.2%	No
KIAA1755	1	1	479	0.2%	No
CXCL11	1	1	479	0.2%	No
TFCP2	2	2	479	0.4%	No
GGCX	2	1	479	0.2%	No
PTPRA	1	1	479	0.2%	No
MDM2	1	1	479	0.2%	Yes
AAK1	1	1	479	0.2%	No
NFE2L1	1	1	479	0.2%	No
CNTNAP2	1	1	479	0.2%	No
SH2D4A	1	1	479	0.2%	No
CRYBG3	1	1	479	0.2%	No
RASGRF1	1	1	479	0.2%	No
CELF5	1	1	479	0.2%	No
MCM10	1	1	479	0.2%	No
EFCAB13	1	1	479	0.2%	No
PIK3CB	1	1	479	0.2%	Yes
MRPL3	2	2	479	0.4%	No
SUMO1	1	1	479	0.2%	No
FUNDC1	1	1	479	0.2%	No
IQUB	1	1	479	0.2%	No
ME1	1	1	479	0.2%	No
NCK2	1	1	479	0.2%	No
PMEPA1	1	1	479	0.2%	No
DNM1L	1	1	479	0.2%	No
ERC2	2	1	479	0.2%	No
PELP1	1	1	479	0.2%	No
DIS3L2	1	1	479	0.2%	No
HSP90AA1	1	1	479	0.2%	Yes
PPP1R12A	1	1	479	0.2%	No
ARNT	1	1	479	0.2%	Yes
RAD23B	1	1	479	0.2%	No
PPM1A	1	1	479	0.2%	No
NT5C3B	1	1	479	0.2%	No
PPM1B	1	1	479	0.2%	No
PIK3CA	1	1	479	0.2%	Yes
IL1RAPL2	1	1	479	0.2%	No
SLC25A10	1	1	479	0.2%	No
DSG2	1	1	479	0.2%	No
BIRC6	2	2	479	0.4%	No
